table_num,coords
1,"[238, 309, 238, 254, 273, 254, 273, 309]"
2,"[290, 310, 290, 255, 325, 255, 325, 310]"
3,"[345, 311, 345, 256, 380, 256, 380, 311]"
4,"[397, 311, 397, 256, 432, 256, 432, 311]"
5,"[450, 311, 450, 256, 485, 256, 485, 311]"
6,"[505, 311, 505, 256, 540, 256, 540, 311]"
7,"[238, 386, 238, 331, 273, 331, 273, 386]"
8,"[293, 386, 293, 331, 328, 331, 328, 386]"
9,"[345, 386, 345, 331, 380, 331, 380, 386]"
10,"[397, 386, 397, 331, 432, 331, 432, 386]"
11,"[452, 386, 452, 331, 487, 331, 487, 386]"
12,"[507, 386, 507, 331, 542, 331, 542, 386]"
13,"[238, 465, 238, 410, 273, 410, 273, 465]"
14,"[293, 465, 293, 410, 328, 410, 328, 465]"
15,"[345, 465, 345, 410, 380, 410, 380, 465]"
16,"[397, 465, 397, 410, 432, 410, 432, 465]"
17,"[452, 465, 452, 410, 487, 410, 487, 465]"
18,"[507, 465, 507, 410, 542, 410, 542, 465]"
19,"[238, 525, 238, 470, 273, 470, 273, 525]"
20,"[293, 525, 293, 470, 328, 470, 328, 525]"
21,"[345, 525, 345, 470, 380, 470, 380, 525]"
22,"[397, 525, 397, 470, 432, 470, 432, 525]"
23,"[452, 525, 452, 470, 487, 470, 487, 525]"
24,"[507, 525, 507, 470, 542, 470, 542, 525]"
25,"[161, 233, 194, 245, 176, 296, 143, 284]"
26,"[105, 289, 138, 301, 120, 352, 87, 340]"
27,"[159, 309, 192, 321, 174, 372, 141, 360]"
28,"[66, 356, 99, 368, 81, 419, 48, 407]"
29,"[117, 373, 150, 385, 132, 436, 99, 424]"
30,"[167, 392, 200, 404, 182, 455, 149, 443]"
31,"[79, 420, 112, 432, 93, 483, 60, 471]"
32,"[130, 437, 163, 449, 144, 500, 111, 488]"
33,"[180, 456, 213, 468, 194, 519, 161, 507]"
34,"[582, 246, 615, 234, 633, 285, 600, 297]"
35,"[637, 305, 670, 293, 688, 344, 655, 356]"
36,"[589, 323, 622, 311, 640, 362, 607, 374]"
37,"[678, 371, 711, 359, 729, 410, 696, 422]"
38,"[626, 390, 659, 378, 677, 429, 644, 441]"
39,"[576, 409, 609, 397, 627, 448, 594, 460]"
40,"[677, 430, 710, 418, 728, 469, 695, 481]"
41,"[625, 449, 658, 437, 676, 488, 643, 500]"
42,"[575, 468, 608, 456, 626, 507, 593, 519]"
